Country,Year,Scheme Type,Scheme Name,Number of Scrips,Number of Authorization,Value of Scrips (Rs. Crore),Free on Board (FOB) value of Exports (Rs .Crore),"Cost, Insurance and Freight (CIF) Value of Imports (Rs .Crore)",Duty Forgone (Rs. Crore)
India,2017-18,,Replenishment License (Gem & Jewellery),,0.0,,0.0,0.0,
India,2017-18,A,Import Lic for Restricted Items,,57.0,,,4411.53,
India,2017-18,B,Export Lic for Restricted Items,,48.0,,158.93,,
India,2018-19,Reward / Incentive Schemes,Served From India Scheme,13.0,,7.99,,,
India,2018-19,Reward / Incentive Schemes,Vishesh Krishi & Gram Udyog Yojana,6.0,,0.29,7.07,,
India,2018-19,Reward / Incentive Schemes,Incre Export Incentivisation Scheme,5.0,,2.16,,,
India,2018-19,Reward / Incentive Schemes,Service Exports from India (SEIS),306.0,,281.81,17817.36,,
India,2018-19,Reward / Incentive Schemes,Status Holder Incentive Scrip,1.0,,2.2,,,
India,2018-19,Reward / Incentive Schemes,Focus Market Scheme,16.0,,2.31,75.8,,
India,2018-19,Reward / Incentive Schemes,Focus Product Scheme,207.0,,23.42,651.55,,
India,2018-19,Reward / Incentive Schemes,Merchandise Exports from India (MEIS),12474.0,,1523.68,48919.33,,
India,2018-19,Duty Neutralisation Scheme,Duty Entitlement Passbook (DEPB)-Post Exports,0.0,,0.0,0.0,,
India,2018-19,Duty Remission Scheme,Advance Authorization,,1601.0,,15220.39,10441.6,
India,2018-19,Duty Remission Scheme,Duty Free Import Authorization,,43.0,,206.36,155.6,
India,2018-19,Duty Remission Scheme,Export Promotion Capital Goods (EPCG),,911.0,,10188.0,,1753.42
India,2018-19,,Replenishment License (Gem & Jewellery),,0.0,,0.0,0.0,
India,2018-19,A,Import Lic for Restricted Items,,35.0,,,1768.66,
India,2018-19,B,Export Lic for Restricted Items,,16.0,,191.54,,
India,2019-20,Reward / Incentive Schemes,Focus Market Scheme,6.0,,0.14,3.84,,
India,2019-20,Reward / Incentive Schemes,Service Exports from India (SEIS),404.0,,303.14,16356.16,,
India,2019-20,Reward / Incentive Schemes,Status Holder Incentive Scrip,1.0,,0.11,,,
India,2019-20,Reward / Incentive Schemes,Merchandise Exports from India (MEIS),12959.0,,1641.97,51585.76,,
India,2019-20,Reward / Incentive Schemes,Incre Export Incentivisation Scheme,3.0,,1.05,,,
India,2019-20,Reward / Incentive Schemes,Vishesh Krishi & Gram Udyog Yojana,1.0,,0.05,1.31,,
India,2019-20,Reward / Incentive Schemes,Focus Product Scheme,27.0,,1.24,54.94,,
India,2019-20,Reward / Incentive Schemes,Served From India Scheme,4.0,,8.03,,,
India,2019-20,Duty Neutralisation Scheme,Duty Entitlement Passbook (DEPB)-Post Exports,0.0,,0.0,0.0,,
India,2019-20,Duty Remission Scheme,Advance Authorization,,1543.0,,17419.46,11050.17,
India,2019-20,Duty Remission Scheme,Duty Free Import Authorization,,27.0,,206.23,162.27,
India,2019-20,Duty Remission Scheme,Export Promotion Capital Goods (EPCG),,803.0,,4236.12,,901.34
India,2019-20,,Replenishment License (Gem & Jewellery),,0.0,,0.0,0.0,
India,2019-20,A,Import Lic for Restricted Items,,198.0,,,1731.97,
India,2019-20,B,Export Lic for Restricted Items,,4.0,,1.17,,
India,2020-21,Reward / Incentive Schemes,Vishesh Krishi & Gram Udyog Yojana,2.0,,0.22,5.05,,
India,2020-21,Reward / Incentive Schemes,Status Holder Incentive Scrip,0.0,,0.0,,,
India,2020-21,Reward / Incentive Schemes,Service Exports from India (SEIS),168.0,,127.06,9359.99,,
India,2020-21,Reward / Incentive Schemes,Focus Market Scheme,2.0,,0.1,2.94,,
India,2020-21,Reward / Incentive Schemes,Focus Product Scheme,6.0,,0.36,20.17,,
India,2020-21,Reward / Incentive Schemes,Merchandise Exports from India (MEIS),5760.0,,663.24,23882.87,,
India,2020-21,Reward / Incentive Schemes,Served From India Scheme,0.0,,0.0,,,
India,2020-21,Reward / Incentive Schemes,Incre Export Incentivisation Scheme,5.0,,2.14,,,
India,2020-21,Duty Neutralisation Scheme,Duty Entitlement Passbook (DEPB)-Post Exports,0.0,,0.0,0.0,,
India,2020-21,Duty Remission Scheme,Advance Authorization,,1540.0,,16711.81,11965.11,
India,2020-21,Duty Remission Scheme,Export Promotion Capital Goods (EPCG),,555.0,,4109.88,,695.25
India,2020-21,Duty Remission Scheme,Duty Free Import Authorization,,38.0,,207.36,161.08,
India,2020-21,,Replenishment License (Gem & Jewellery),,0.0,,0.0,0.0,
India,2020-21,A,Import Lic for Restricted Items,,252.0,,,3019.13,
India,2020-21,B,Export Lic for Restricted Items,,0.0,,0.0,,
India,2021-22,Reward / Incentive Schemes,Served From India Scheme,0,,0.00,,,
India,2021-22,Reward / Incentive Schemes,Focus Market Scheme,0,,0.00,0.00,,
India,2021-22,Reward / Incentive Schemes,Vishesh Krishi & Gram Udyog Yojana,0,,0.00,0.00,,
India,2021-22,Reward / Incentive Schemes,Focus Product Scheme,118,,21.84,561.73,,
India,2021-22,Reward / Incentive Schemes,Incre Export Incentivisation Scheme,0,,0.00,,,
India,2021-22,Reward / Incentive Schemes,Status Holder Incentive Scrip,0,,0.00,,,
India,2021-22,Reward / Incentive Schemes,Merchandise Exports from India (MEIS),8591,,933.32,35037.40,,
India,2021-22,Reward / Incentive Schemes,Service Exports from India (SEIS),217,,195.14,6239.49,,
India,2021-22,Duty Neutralisation Scheme,Duty Entitlement Passbook (DEPB)-Post Exports,0,,0,0,,
India,2021-22,Duty Remission Scheme,Export Promotion Capital Goods (EPCG),,623,,5521.94,,951.31
India,2021-22,Duty Remission Scheme,Advance Authorization,,1730,,21500.49,15911.30,
India,2021-22,Duty Remission Scheme,Duty Free Import Authorization,,44,,198.36,159.17,
India,2021-22,,Replenishment License (Gem & Jewellery),,0,,0.00,0.00,
India,2021-22,A,Import Lic for Restricted Items,,0,,,0.00,
India,2021-22,B,Export Lic for Restricted Items,,0,,0.00,,
